   15.06   15.06   15.06
   15.08   15.08   15.08
   15.10   15.10   15.10
   15.12   15.12   15.12
   15.14   15.14   15.14
   15.15   15.15   15.15
   15.17   15.17   15.17
   15.19   15.19   15.19
   15.21   15.21   15.21
   15.23   15.23   15.23
   15.24   15.24   15.24
   15.26   15.26   15.26
   15.28   15.28   15.28
   15.30   15.30   15.30
   15.31   15.31   15.31
   15.33   15.33   15.33
   15.35   15.35   15.35
   15.37   15.37   15.37
   15.39   15.39   15.39
   15.38   15.38   15.38
   15.38   15.38   15.38
   15.37   15.37   15.37
   15.37   15.37   15.37
   15.36   15.36   15.36
   15.36   15.36   15.36
   15.35   15.35   15.35
   15.35   15.35   15.35
   15.34   15.34   15.34
   15.34   15.34   15.34
   15.34   15.34   15.34
   15.33   15.33   15.33
   15.33   15.33   15.33
   15.32   15.32   15.32
   15.32   15.32   15.32
   15.31   15.31   15.31
   15.28   15.28   15.28
   15.24   15.24   15.24
   15.21   15.21   15.21
   15.18   15.18   15.18
   15.14   15.14   15.14
   15.11   15.11   15.11
   15.07   15.07   15.07
   15.04   15.04   15.04
   15.01   15.01   15.01
   14.97   14.97   14.97
   14.94   14.94   14.94
   14.91   14.91   14.91
   14.87   14.87   14.87
   14.84   14.84   14.84
   14.80   14.80   14.80
   14.77   14.77   14.77
   14.74   14.74   14.74
   14.69   14.69   14.69
   14.65   14.65   14.65
   14.61   14.61   14.61
   14.57   14.57   14.57
   14.53   14.53   14.53
   14.48   14.48   14.48
   14.44   14.44   14.44
   14.40   14.40   14.40
   14.36   14.36   14.36
   14.31   14.31   14.31
   14.27   14.27   14.27
   14.23   14.23   14.23
   14.19   14.19   14.19
   14.14   14.14   14.14
   14.10   14.10   14.10
   14.06   14.06   14.06
   14.02   14.02   14.02
   13.98   13.98   13.98
   13.94   13.94   13.94
   13.89   13.89   13.89
   13.85   13.85   13.85
   13.81   13.81   13.81
   13.77   13.77   13.77
   13.73   13.73   13.73
   13.69   13.69   13.69
   13.65   13.65   13.65
   13.61   13.61   13.61
   13.57   13.57   13.57
   13.53   13.53   13.53
   13.49   13.49   13.49
   13.45   13.45   13.45
   13.41   13.41   13.41
   13.36   13.36   13.36
   13.32   13.32   13.32
   13.28   13.28   13.28
   13.24   13.24   13.24
   13.20   13.20   13.20
   13.16   13.16   13.16
   13.12   13.12   13.12
   13.08   13.08   13.08
   13.04   13.04   13.04
   13.00   13.00   13.00
   12.96   12.96   12.96
   12.92   12.92   12.92
   12.88   12.88   12.88
   12.83   12.83   12.83
   12.79   12.79   12.79
   12.75   12.75   12.75
   12.71   12.71   12.71
   12.67   12.67   12.67
   12.63   12.63   12.63
   12.59   12.59   12.59
